gene	tier_chd
ACTC1	1
ACVR1	1
ACVR2B	1
CCDC11	1
CFAP53	1
CFC1	1
CITED2	1
CRELD1	1
ELN	1
FLT4	1
FOXH1	1
GATA4	1
GATA5	1
GATA6	1
GDF1	1
ISL1	1
MED13L	1
MESP1	1
MMP21	1
MYH6	1
MYH7	1
NFATC1	1
NKX2-5	1
NKX2-6	1
NODAL	1
NOTCH1	1
NR2F2	1
PKD1L1	1
PLD1	1
SMAD6	1
TAB2	1
TBX1	1
TBX20	1
TBX5	1
TFAP2B	1
TLL1	1
TPM1	1
ZFPM2	1
ZIC3	1
PRDM6	1
ABL1	2
A2ML1	2
ACTB	2
ADNP	2
AFFA	2
AMER1	2
ANKRD11	2
ANKS6	2
ARHGAP31	2
ARID1A	2
ARMC4	2
ASXL1	2
ASXL2	2
ATP7A	2
B3GALT6	2
B3GALTL	2
B3GAT3	2
BBS1	2
BBS10	2
BBS2	2
BBS6	2
BBS8	2
BBS9	2
BCOR	2
BMP2	2
BRAF	2
CACNA1C	2
CBL	2
CCBE1	2
CCDC103	2
CCDC114	2
CCDC151	2
CCDC39	2
CCDC40	2
CD96	2
CDC45	2
CENPF	2
CEP290	2
CEP57	2
CHD4	2
CHD7	2
CHST14	2
COX7B	2
CREBBP	2
DDX11	2
DDX3X	2
DDX59	2
DHCR7	2
DNAAF1	2
DNAAF2	2
DNAAF3	2
DNAH11	2
DNAH5	2
DNAI1	2
DNAI2	2
DNAL1	2
DOCK6	2
DVL3	2
DYNC2H1	2
DYRK1A	2
DYX1C1	2
EED	2
EFTUD2	2
EHMT1	2
EOGT	2
EP300	2
ESCO2	2
EVC	2
EVC2	2
FANCA	2
FANCC	2
FANCD2	2
FBN1	2
FBN2	2
FIG4	2
FLNA	2
FOXC1	2
FOXC2	2
FOXF1	2
FTO	2
G6PC3	2
GJA1	2
GPC3	2
HDAC8	2
HEATR2	2
HES7	2
HNRNPK	2
HOXA1	2
HRAS	2
IGFBP7	2
INVS	2
IRX5	2
JAG1	2
KANSL1	2
KAT6B	2
KDM6A	2
KYNU	2
WASHC5	2
KMT2A	2
KMT2D	2
KRAS	2
LONP1	2
LRRC50	2
LRRC6	2
LZTR1	2
MAP2K1	2
MAP2K2	2
MAP3K7	2
MED12	2
MEGF8	2
MEIS2	2
MGP	2
MID1	2
MKKS	2
MKS1	2
MYCN	2
NAA15	2
NEK1	2
NEK8	2
NF1	2
NIPBL	2
NME8	2
NONO	2
NOTCH2	2
NPHP3	2
NRAS	2
NSD1	2
NSDHL	2
NSDHL 	2
OFD1	2
PACS1	2
PBX1	2
PHGDH	2
PIGA	2
PIGL	2
PIGN	2
PIH1D3	2
PITX2	2
PPP1CB	2
PQBP1	2
PRKD1	2
PRRX1	2
PSMD12	2
PTPN11	2
PUF60	2
RAB23	2
RAD21	2
RAF1	2
RAI1	2
RBM10	2
RBM8A	2
RECQL4	2
RERE	2
RIT1	2
ROBO1	2
ROR2	2
RPL35A	2
RPL5	2
RPS10	2
RPS17	2
RPS19	2
RPS24	2
RPS26	2
RPS6KA3	2
RPS7	2
RSK2	2
SALL1	2
SALL4	2
SEMA3A	2
SETBP1	2
SF3B4	2
SH3PXD2B	2
SHOC2	2
SKIV2L	2
SMAD3	2
SMAD4	2
SMARCA4	2
SMARCB1	2
SMARCE1	2
SMC3	2
SMG9	2
SOS1	2
SOS2	2
SOX9	2
STAMBP	2
STK4	2
STRA6	2
TBX2	2
TBX3	2
TCOF1	2
TCTN2	2
TCTN3	2
TGFB3	2
TGFBR1	2
TGFBR2	2
TKT	2
TMEM260	2
TMEM38B	2
TRAF7	2
TTC25	2
TTC37	2
TTC8	2
TXNDC3	2
TXNL4A	2
WDPCP	2
WDR35	2
ZEB2	2
ZMYND10	2
ARID1B	2
CDK13	2
KAT6A	2
SMC1A	2
SON	2
THSD1	2
AARS2	3
ABCA1	3
ABCC6	3
ABCC9	3
ABRA	3
ACAD9	3
ACADS	3
ACADVL	3
ACE	3
ACE2	3
ACTA1	3
ACTA2	3
ACTN2	3
ACVR2A	3
ACVRL1	3
ADAM10	3
ADAMTS10	3
ADAMTS6	3
ADAMTSL2	3
ADRA1B	3
ADRA2C	3
ADRB1	3
ADRB2	3
AGK	3
AGL	3
AGT	3
AGTR1	3
AGTR2	3
AKAP10	3
AKAP12	3
AKAP13	3
AKAP9	3
ALG10	3
ALMS1	3
ALPK3	3
AMHR2	3
ANGPT2	3
ANK2	3
ANO5	3
ANXA1	3
APEX1	3
APLN	3
APLNR	3
APOA1	3
AR	3
ARHGAP24	3
ATG5	3
ATP1A1	3
ATP1A2	3
ATP2B1	3
ATP6V1E1	3
BAG3	3
BCL2L11	3
BECN1	3
BGN	3
BIN1	3
BVES	3
CABIN1	3
CACNA1D	3
CACNA2D1	3
CACNB2	3
CALM1	3
CALM2	3
CALM3	3
CALR3	3
CAMK2D	3
CAMTA2	3
CASQ2	3
CAV1	3
CAV3	3
CAVIN1	3
CCM2	3
CD36	3
CHKB	3
CHRM2	3
CNBP	3
COA5	3
COL1A1	3
COL1A2	3
COL2A1	3
COL3A1	3
COL5A1	3
COL5A2	3
COQ4	3
COX15	3
COX6B1	3
CPT2	3
CRYAB	3
CSRP3	3
CTF1	3
CTNNA3	3
CTNNB1	3
CTSA	3
CXADR	3
CYBB	3
CYP11B1	3
CYP19A1	3
CYR61	3
DCHS1	3
DDX39B	3
DES	3
DMD	3
DMPK	3
DNAJC19	3
DOLK	3
DOT1L	3
DPP6	3
DSC2	3
DSG2	3
DSP	3
DTNA	3
E2F4	3
EDNRB	3
EFEMP2	3
EGLN1	3
ELAC2	3
EMD	3
ENG	3
ESR1	3
ETFB	3
EYA4	3
FABP4	3
FBLN2	3
FBLN5	3
FBXL4	3
FBXO32	3
FHL1	3
FHL2	3
FHOD3	3
FKBP1B	3
FKBP14	3
FKRP	3
FKTN	3
FLNC	3
FLT1	3
FN1	3
FOXO3	3
FOXRED1	3
FST	3
FXN	3
FXR1	3
GAA	3
GATAD1	3
GBE1	3
GJA8	3
GLA	3
GLB1	3
GNAI2	3
GNB5	3
GPD1L	3
GSK3B	3
GSN	3
GTPBP3 	3
GUSB	3
GYG1	3
GYS1	3
HADHA	3
HADHB	3
HBEGF	3
HCN1	3
HCN2	3
HCN3	3
HCN4	3
HDAC1	3
HDAC2	3
HFE	3
HFE2	3
HIF1A	3
HOPX	3
HRC	3
HSPA5	3
IFNG	3
IGF1R	3
IGF2	3
IGFBP5	3
ILK	3
ITGB1BP2	3
ITGB3	3
JPH2	3
JUP	3
KCNA3	3
KCNA5	3
KCND3	3
KCNE1	3
KCNE2	3
KCNE3	3
KCNE4	3
KCNE5	3
KCNH2	3
KCNJ11	3
KCNJ2	3
KCNJ5	3
KCNJ8	3
KCNK3	3
KCNN2	3
KCNN3	3
KCNQ1	3
KLF10	3
KLF6	3
KRIT1	3
LAMA2	3
LAMA4	3
LAMC1	3
LAMP2	3
LARGE	3
LDB3	3
LDLR	3
LIMS2	3
LLPH	3
LMNA	3
LOX	3
LPL	3
LRP5	3
LRP6	3
LTBP4	3
MANBA	3
MAPK1	3
MAT2A	3
MAX	3
MEST	3
MFAP4	3
MIB1	3
MLYCD	3
MMP3	3
MPO	3
MRPL3	3
MRPS22	3
MYBPC3	3
MYC	3
MYH11	3
MYL2	3
MYL3	3
MYL7	3
MYLK2	3
MYLK3	3
MYO6	3
MYOCD	3
MYOT	3
MYOZ2	3
MYPN	3
NAA10	3
NDUFA10	3
NDUFA2	3
NDUFAF1	3
NDUFS8	3
NDUFV2	3
NEB	3
NEBL	3
NEXN	3
NFKB1	3
NOS1AP	3
NOTCH3	3
NPPA	3
NPPB	3
NUP155	3
OBSCN	3
OPA1	3
PABPN1	3
PAK1	3
PDCD10	3
PDE2A	3
PDGFRB	3
PDLIM3	3
PDLIM5	3
PEPD	3
PFKM	3
PIGT	3
PKD1	3
PKD2	3
PKP2	3
PLEKHM2	3
PLN	3
PLOD1	3
PNPLA2	3
POLG	3
POMT1	3
PPA2	3
PPAP2B	3
PPARGC1A	3
PPARGC1B	3
PPM1K	3
PRDM16	3
PRKAG2	3
PRKAR1A	3
PRKCI	3
PSEN1	3
PSEN2	3
PTK2	3
PTK2B	3
PTPN1	3
PTRF	3
RANGRF	3
RBL2	3
RBM20	3
REL	3
RETN	3
RHOJ	3
RNU4ATAC	3
RPS6KB1	3
RUNX1	3
RYR1	3
RYR2	3
S1PR1	3
S1PR2	3
SCN1B	3
SCN2B	3
SCN3B	3
SCN4B	3
SCN5A	3
SCO1	3
SCO2	3
SEPN1	3
SFRP1	3
SGCA	3
SGCB	3
SGCD	3
SGCG	3
SGOL	3
SHOX2	3
SKI	3
SLC22A5	3
SLC25A20	3
SLC25A3	3
SLC25A4	3
SLC2A10	3
SLC4A7	3
SLC6A4	3
SLC8A1	3
SLMAP	3
SLN	3
SMAD2	3
SMAD9	3
SMYD1	3
SNTA1	3
SNX17	3
SOCS1	3
SOD2	3
SPEG	3
SRF	3
SRI	3
SS18	3
SYNE1	3
TAZ	3
TBC1D4	3
TCAP	3
TFAM	3
TFB1M	3
TGFB2	3
THBS2	3
THBS4	3
TMBIM4	3
TMEM195	3
TMEM43	3
TMEM70	3
TMPO	3
TNF	3
TNNI1	3
TNNI3	3
TNNT2	3
TRAF6	3
TRDN	3
TRIM32	3
TRIM37	3
TRIM63	3
TRPM4	3
TRPM7	3
TSFM	3
TSPO	3
TTN	3
TTR	3
TXNRD2	3
UTRN	3
VCL	3
VCP	3
VEGFC	3
XK	3
XPO1	3
YARS2	3
ZFHX3	3
ADA2	4
ADAM15	4
ADAM17	4
ALDH1A2	4
ANGPT1	4
ANKRD1	4
APOBEC2	4
ATE1	4
AXIN1	4
BCL6	4
BICC1	4
BMP4	4
BMP7	4
BMPR1A	4
BMPR2	4
CACNA2D2	4
CBFB	4
CCDC28B	4
CDH2	4
CER1	4
CFC1B	4
CFL1	4
CHRD	4
CHUK	4
CRB2	4
CRKL	4
CSRP1	4
CTBP2	4
CTCF	4
CXCR4	4
DAAM1	4
DAND5	4
DGCR8	4
DICER1	4
DLC1	4
DLL1	4
DLL4	4
DMRT2	4
DNAH2	4
DVL2	4
DZIP1	4
ECE1	4
EPHB4	4
EYA1	4
EZH1	4
FGF10	4
FIGN	4
FLRT2	4
FOXA2	4
FOXJ1	4
FOXM1	4
FOXP1	4
FSTL1	4
FZD2	4
GALNT11	4
GAS1	4
GJA5	4
GJC1	4
GPR161	4
HAND1	4
HAND2	4
HAS2	4
HEG1	4
HES1	4
HEY1	4
HEY2	4
HIRA	4
HYLS1	4
ID1	4
ID2	4
ID3	4
IFT140	4
IFT20	4
IFT88	4
IGFBP4	4
IRX4	4
ITGB1	4
JARID2	4
JAZF1	4
JUNB	4
KAT2A	4
KDR	4
KIF3B	4
KLF13	4
LBH	4
LBX2	4
LEFTY1	4
LEFTY2	4
LIMS1	4
LZTFL1	4
MAML1	4
MAML3	4
MAPK3	4
MAPK8IP3	4
MCTP2	4
MDM4	4
MED15	4
MEF2A	4
MEF2C	4
MEIS1	4
MEOX2	4
MGRN1	4
MIXL1	4
MMP15	4
MSX1	4
MSX2	4
MYH10	4
MYOM1	4
NFATC3	4
NFATC4	4
NOS3	4
NR1D2	4
NRP1	4
NTF3	4
NUMB	4
NUMBL	4
NUP188	4
OSR1	4
PACRG	4
PAX3	4
PCSK5	4
PCSK6	4
PDGFRA	4
PDPN	4
PDS5B	4
PIFO	4
PIK3R2	4
PLAGL1	4
PLRG1	4
PLXNA2	4
PLXND1	4
POPDC2	4
POSTN	4
PRDM1	4
PRICKLE1	4
PRKAB2	4
PROX1	4
PTK7	4
RAP1B	4
RAPGEF5	4
RBFOX2	4
RFX2	4
RIPPLY3	4
RNF115	4
ROCK1	4
ROCK2	4
RSPO3	4
RTTN	4
RUNX1T1	4
SDC2	4
SENP2	4
SESN1	4
SHROOM3	4
SIL	4
SMAD1	4
SMAD5	4
SMAD7	4
SMARCD3	4
SMO	4
SNAI1	4
SNX8	4
SOX17	4
SOX7	4
SP1	4
SP3	4
SPNS2	4
STAB1	4
STIL	4
SYNM	4
TAB1	4
TAL1	4
TAX1BP1	4
TBC1D32	4
TDGF1	4
TFAP2A	4
TGFBR3	4
TLN1	4
TNNC1	4
TRIM55	4
TWIST2	4
USP34	4
VANGL1	4
VANGL2	4
VEGFA	4
WNT11	4
WNT2	4
WNT3	4
WNT3A	4
WNT7B	4
ZBTB14	4
ZFP36L1	4
ZFPM1	4
ZIC2	4
ZNF480	4
ZNF528	4
ZNF638	4
TAK1	4
MESP2	4
FGF8	4
TMEM88	4
ADRA1D	4
ACKR3	4
IRX3	4
PDGFB	4
ZBTB16	4
SYNPO2	4
SOX11	4
LMO4	4
TENM3	4
FGF20	4
CGNL1	4
MYCL	4
TLE2	4
FOXI1	4
KIF26A	4
FOS	4
GADD45B	4
APELA	4
